"","Tree","All105","All10","NodeNo","Nodes1","Nodes2","NodesTie","TotalCost","RootState1","RootState2"
"1",1,TRUE,TRUE,367,367,0,0,6,1,0
"2",2,TRUE,TRUE,367,367,0,0,6,1,0
"3",3,TRUE,TRUE,367,367,0,0,6,1,0
"4",4,TRUE,TRUE,367,367,0,0,6,1,0
"5",5,TRUE,TRUE,367,367,0,0,6,1,0
"6",6,TRUE,TRUE,367,367,0,0,6,1,0
"7",7,TRUE,TRUE,367,367,0,0,6,1,0
"8",8,TRUE,TRUE,367,367,0,0,6,1,0
"9",9,TRUE,TRUE,367,367,0,0,6,1,0
"10",10,TRUE,TRUE,367,367,0,0,6,1,0
"11",11,TRUE,TRUE,367,367,0,0,6,1,0
"12",12,TRUE,TRUE,367,367,0,0,6,1,0
"13",13,TRUE,TRUE,367,367,0,0,6,1,0
"14",14,TRUE,TRUE,367,367,0,0,6,1,0
"15",15,TRUE,TRUE,367,367,0,0,6,1,0
"16",16,TRUE,TRUE,367,367,0,0,6,1,0
"17",17,TRUE,TRUE,367,367,0,0,6,1,0
"18",18,TRUE,TRUE,367,367,0,0,6,1,0
"19",19,TRUE,TRUE,367,367,0,0,6,1,0
"20",20,TRUE,TRUE,367,367,0,0,6,1,0
"21",21,TRUE,TRUE,367,367,0,0,6,1,0
"22",22,TRUE,TRUE,367,367,0,0,6,1,0
"23",23,TRUE,TRUE,367,367,0,0,6,1,0
"24",24,TRUE,TRUE,367,367,0,0,6,1,0
"25",25,TRUE,TRUE,367,367,0,0,6,1,0
"26",26,TRUE,TRUE,367,367,0,0,6,1,0
"27",27,TRUE,TRUE,367,367,0,0,6,1,0
"28",28,TRUE,TRUE,367,367,0,0,6,1,0
"29",29,TRUE,TRUE,367,367,0,0,6,1,0
"30",30,TRUE,TRUE,367,367,0,0,6,1,0
"31",31,TRUE,TRUE,367,367,0,0,6,1,0
"32",32,TRUE,TRUE,367,367,0,0,6,1,0
"33",33,TRUE,TRUE,367,367,0,0,6,1,0
"34",34,TRUE,TRUE,367,367,0,0,6,1,0
"35",35,TRUE,TRUE,367,367,0,0,6,1,0
"36",36,TRUE,TRUE,367,367,0,0,6,1,0
"37",37,TRUE,TRUE,367,367,0,0,6,1,0
"38",38,TRUE,TRUE,367,367,0,0,6,1,0
"39",39,TRUE,TRUE,367,367,0,0,6,1,0
"40",40,TRUE,TRUE,367,367,0,0,6,1,0
"41",41,TRUE,TRUE,367,367,0,0,6,1,0
"42",42,TRUE,TRUE,367,367,0,0,6,1,0
"43",43,TRUE,TRUE,367,367,0,0,6,1,0
"44",44,TRUE,TRUE,367,367,0,0,6,1,0
"45",45,TRUE,TRUE,367,367,0,0,6,1,0
"46",46,TRUE,TRUE,367,367,0,0,6,1,0
"47",47,TRUE,TRUE,367,367,0,0,6,1,0
"48",48,TRUE,TRUE,367,367,0,0,6,1,0
"49",49,TRUE,TRUE,367,367,0,0,6,1,0
"50",50,TRUE,TRUE,367,367,0,0,6,1,0
"51",51,TRUE,TRUE,367,367,0,0,6,1,0
"52",52,TRUE,TRUE,367,367,0,0,6,1,0
"53",53,TRUE,TRUE,367,367,0,0,6,1,0
"54",54,TRUE,TRUE,367,367,0,0,6,1,0
"55",55,TRUE,TRUE,367,367,0,0,6,1,0
"56",56,TRUE,TRUE,367,367,0,0,6,1,0
"57",57,TRUE,TRUE,367,367,0,0,6,1,0
"58",58,TRUE,TRUE,367,367,0,0,6,1,0
"59",59,TRUE,TRUE,367,367,0,0,6,1,0
"60",60,TRUE,TRUE,367,367,0,0,6,1,0
"61",61,TRUE,TRUE,367,367,0,0,6,1,0
"62",62,TRUE,TRUE,367,367,0,0,6,1,0
"63",63,TRUE,TRUE,367,367,0,0,6,1,0
"64",64,TRUE,TRUE,367,367,0,0,6,1,0
"65",65,TRUE,TRUE,367,367,0,0,6,1,0
"66",66,TRUE,TRUE,367,367,0,0,6,1,0
"67",67,TRUE,TRUE,367,367,0,0,6,1,0
"68",68,TRUE,TRUE,367,367,0,0,6,1,0
"69",69,TRUE,TRUE,367,367,0,0,6,1,0
"70",70,TRUE,TRUE,367,367,0,0,6,1,0
"71",71,TRUE,TRUE,367,367,0,0,6,1,0
"72",72,TRUE,TRUE,367,367,0,0,6,1,0
"73",73,TRUE,TRUE,367,367,0,0,6,1,0
"74",74,TRUE,TRUE,367,367,0,0,6,1,0
"75",75,TRUE,TRUE,367,367,0,0,6,1,0
"76",76,TRUE,TRUE,367,367,0,0,6,1,0
"77",77,TRUE,TRUE,367,367,0,0,6,1,0
