"","Taxon","State","Acc","VT","Genus","Family","Order","Ingroup"
"Endogone_pisformis_DQ322628_Endogone_Endogonaceae_Endogonales","Endogone_pisformis_DQ322628_Endogone_Endogonaceae_Endogonales","ECM","DQ322628","Endogone_pisformis","Endogone","Endogonaceae","Endogonales","No"
"Phycomyces_blakesleeanus_AY635837_Phycomyces_Phycomycetaceae_Mucorales","Phycomyces_blakesleeanus_AY635837_Phycomyces_Phycomycetaceae_Mucorales","Saprotroph","AY635837","Phycomyces_blakesleeanus","Phycomyces","Phycomycetaceae","Mucorales","No"
"Rhizopus_oryzae_NG_062621_Rhizopus_Rhizopodaceae_Mucorales","Rhizopus_oryzae_NG_062621_Rhizopus_Rhizopodaceae_Mucorales","Saprotroph","NG_062621","Rhizopus_oryzae","Rhizopus","Rhizopodaceae","Mucorales","No"
"Umbelopsis_ramanniana_DQ322627_Umbelopsis_Umbelopsidaceae_Umbelopsidales","Umbelopsis_ramanniana_DQ322627_Umbelopsis_Umbelopsidaceae_Umbelopsidales","Saprotroph","DQ322627","Umbelopsis_ramanniana","Umbelopsis","Umbelopsidaceae","Umbelopsidales","No"
"VTX00001_AJ854100_Paraglomus_Paraglomeraceae_Paraglomerales","VTX00001_AJ854100_Paraglomus_Paraglomeraceae_Paraglomerales","AM","AJ854100","VTX00001","Paraglomus","Paraglomeraceae","Paraglomerales","Yes"
"VTX00002_AF202299_Paraglomus_Paraglomeraceae_Paraglomerales","VTX00002_AF202299_Paraglomus_Paraglomeraceae_Paraglomerales","AM","AF202299","VTX00002","Paraglomus","Paraglomeraceae","Paraglomerales","Yes"
"VTX00004_AJ563887_Archaeospora_Archaeosporaceae_Archaeosporales","VTX00004_AJ563887_Archaeospora_Archaeosporaceae_Archaeosporales","AM","AJ563887","VTX00004","Archaeospora","Archaeosporaceae","Archaeosporales","Yes"
"VTX00005_AF131054_Archaeospora_Archaeosporaceae_Archaeosporales","VTX00005_AF131054_Archaeospora_Archaeosporaceae_Archaeosporales","AM","AF131054","VTX00005","Archaeospora","Archaeosporaceae","Archaeosporales","Yes"
"VTX00006_AJ854097_Archaeospora_Archaeosporaceae_Archaeosporales","VTX00006_AJ854097_Archaeospora_Archaeosporaceae_Archaeosporales","AM","AJ854097","VTX00006","Archaeospora","Archaeosporaceae","Archaeosporales","Yes"
"VTX00007_AF131055_Archaeospora_Archaeosporaceae_Archaeosporales","VTX00007_AF131055_Archaeospora_Archaeosporaceae_Archaeosporales","AM","AF131055","VTX00007","Archaeospora","Archaeosporaceae","Archaeosporales","Yes"
"VTX00008_EU573738_Archaeospora_Archaeosporaceae_Archaeosporales","VTX00008_EU573738_Archaeospora_Archaeosporaceae_Archaeosporales","AM","EU573738","VTX00008","Archaeospora","Archaeosporaceae","Archaeosporales","Yes"
"VTX00009_AJ854098_Archaeospora_Archaeosporaceae_Archaeosporales","VTX00009_AJ854098_Archaeospora_Archaeosporaceae_Archaeosporales","AM","AJ854098","VTX00009","Archaeospora","Archaeosporaceae","Archaeosporales","Yes"
"VTX00010_AF074350_Acaulospora_Acaulosporaceae_Diversisporales","VTX00010_AF074350_Acaulospora_Acaulosporaceae_Diversisporales","AM","AF074350","VTX00010","Acaulospora","Acaulosporaceae","Diversisporales","Yes"
"VTX00011_EU573737_Pacispora_Pacisporaceae_Diversisporales","VTX00011_EU573737_Pacispora_Pacisporaceae_Diversisporales","AM","EU573737","VTX00011","Pacispora","Pacisporaceae","Diversisporales","Yes"
"VTX00012_EF447243_Acaulospora_Acaulosporaceae_Diversisporales","VTX00012_EF447243_Acaulospora_Acaulosporaceae_Diversisporales","AM","EF447243","VTX00012","Acaulospora","Acaulosporaceae","Diversisporales","Yes"
